Q   1123.596  1124.863  1124.378 
1035.322  1171.459   965.812  P1  
 977.314  1151.073  1200.057  P1  
948.310   1064.434  1212.928  P1  
1113.507  1251.547  1255.658  P1  
1160.166   971.241  1202.631  P1  
1080.720  1092.828   910.211  P1  
921.828   1194.757  1119.744  P1  
1189.170  1143.793  1247.421  P1  
1114.768  1338.187  1042.006  P1  
1136.206  1027.302  1109.448  P1  
1034.061  1154.714  1320.011  P1  
1081.981  1249.362  1099.666  P1  
1044.149  1207.135  1235.065  P1  
1233.307  1019.293  1105.329  P1  
1185.387   915.908  1084.736  P1  
1308.970  1035.311  1031.709  P1  
