 x   y   z   cidx
 1136.20604 1027.30210 1109.44782          5
 1081.98089 1249.36243 1099.66617          3
 1189.17014 1143.79274 1247.42096          1
 1233.30689 1019.29334 1105.32927          4
 1044.14939 1207.13455 1235.06516          7
  977.31374 1151.07343 1200.05704          6
 1160.16599  971.24094 1202.63119          1
 1113.50714 1251.54663 1255.65814          2
 1035.32204 1171.45931  965.81165          0
  948.30959 1064.43351 1212.92765          2
  921.82754 1194.75743 1119.74435          6
 1034.06099 1154.71374 1320.01129          7
 1080.71984 1092.82811  910.21056          0
 1185.38699  915.90790 1084.73623          5
 1308.96989 1035.31082 1031.70927          4
 1114.76819 1338.18655 1042.00579          3
